Semiconductor,Theory,Formation_E_per_atom,Decomp_E_pfu,Bandgap,a,b,c,alpha,beta,gamma,Dielectric,SLME
Ag1Al1Se1Te1_kesterite,HSE+SOC,-0.717480748,-0.400931849,2.248436351,14.71060106,15.5335895,14.14062241,116.0385504,108.3775214,109.3023297,5.967777784,35.29874223
Ag1Al1Se1Te1_stannite,HSE+SOC,-0.669930988,-0.159239271,1.31088038,15.04254334,14.13601181,16.08767109,108.4082252,109.325429,116.7236363,7.557972531,38.78767508
Ag1Al1Se2_kesterite,HSE+SOC,-0.929234373,-0.423861108,2.810571045,7.491933222,7.141028423,13.27330376,108.7345863,115.5802075,113.2974098,5.118122164,23.23542071
Ag1Al1Se2_stannite,HSE+SOC,-0.874800853,-0.239175515,2.076561474,6.741620596,6.816912152,15.533385,114.1232838,114.0247577,112.8812111,7.340559931,34.10980729
Ag1Al1Te2_kesterite,HSE+SOC,-0.536219944,-0.347611979,2.336185248,7.628175351,7.570638561,15.26019205,114.4161347,110.536906,108.5751689,7.291506619,32.88845613
Ag1Al1Te2_stannite,HSE+SOC,-0.528986419,-0.218303298,1.401614881,7.712011771,7.383830031,16.02511565,114.9008837,115.8377001,109.413781,8.024261199,41.14647023
Ag1Ga0.5In0.5S1Se1_kesterite,HSE+SOC,-0.674063603,-0.453736,1.583880994,14.74941598,14.10533144,13.36025361,110.7152645,108.2054682,113.6816909,5.425419122,39.57721077
Ag1Ga0.5In0.5S2_kesterite,HSE+SOC,-0.726535822,-0.499474352,2.062277331,14.60716119,14.28546654,13.2089196,113.6076141,114.7721479,115.460513,4.415979937,35.1112329
Ag1Ga0.5In0.5S2_stannite,HSE+SOC,-0.724644037,-0.458191597,1.647652487,13.46864748,13.88397643,14.23231037,110.9246732,108.7570059,111.2535991,5.532739747,39.13244586
Ag1Ga0.5In0.5Se2_kesterite,HSE+SOC,-0.661379486,-0.4073354,1.120005863,14.86626084,14.80833335,14.00994225,114.3285579,114.1087697,113.4656385,6.824907541,34.84470288
Ag1Ga0.5In0.5Se2_stannite,HSE+SOC,-0.681349284,-0.326689296,0.674519436,14.35442026,13.94291187,15.65369493,111.4010339,111.2758627,108.4738918,7.721502536,19.76510512
Ag1Ga0.5In0.5Te2_kesterite,HSE+SOC,-0.452881152,-0.482540727,1.01632035,16.46258666,15.67067753,15.29593746,110.5304408,115.6487865,116.8086511,10.38039795,31.51354319
Ag1Ga0.5In0.5Te2_stannite,HSE+SOC,-0.417135809,-0.439876588,0.428955912,15.51881032,15.33021369,16.2817734,112.9129935,113.561747,114.6700227,13.52347303,6.814163392
Ag1Ga1S1Te1_kesterite,HSE+SOC,-0.594152431,-0.338450433,1.428043553,14.7074707,14.90930519,13.3706748,112.7059631,110.1929025,115.7410984,8.659599688,38.75002043
Ag1Ga1S1Te1_stannite,HSE+SOC,-0.479048302,-0.01569391,0.081916944,13.81171332,14.50249133,15.07616564,113.6019302,116.0787266,114.3139362,12.26307111,5.497827437
Ag1Ga1S2_kesterite,HSE+SOC,-0.813452349,-0.542357248,2.819364099,7.029156098,7.000601369,13.01922852,114.336333,114.5058754,114.0437605,4.903167469,23.3787371
Ag1Ga1S2_stannite,HSE+SOC,-0.727889072,-0.376781752,2.132485379,6.683424252,6.525482756,15.19932424,112.5374317,113.0436009,114.4185736,6.479389817,33.4495692
Ag1Ga1Se1Te1_kesterite,HSE+SOC,-0.584500375,-0.368082201,1.358656334,15.43651474,15.39119686,14.82556131,108.292269,115.5348415,116.746826,8.342512234,37.10190368
Ag1Ga1Se1Te1_stannite,HSE+SOC,-0.493291278,-0.129329044,0.150555185,15.00534861,14.38569597,14.98589375,108.9499055,108.8787066,112.6120183,28.70203282,5.243553592
Ag1Ga1Se2_kesterite,HSE+SOC,-0.73349256,-0.382990204,1.680158529,7.216815833,7.634190766,13.94278329,108.0737557,110.9698019,114.4533336,7.377604317,41.70172427
Ag1Ga1Se2_stannite,HSE+SOC,-0.659806121,-0.200428138,0.924856211,7.070370421,6.827311685,15.69748822,111.3356745,113.5504068,115.7748519,8.472437911,28.6525024
Ag1Ga1Te2_kesterite,HSE+SOC,-0.445909011,-0.345021022,1.172852308,7.922020589,7.572130882,15.0721584,116.6997187,109.191723,112.4737944,10.894183,35.38653383
Ag1Ga1Te2_stannite,HSE+SOC,-0.38663586,-0.188649853,0.263755436,7.313062991,7.507169509,16.25590567,116.3446045,114.6998403,113.5761257,31.90593196,4.888829726
Ag1In1S1Se1_kesterite,HSE+SOC,-0.652521774,-0.454760249,1.284906011,14.78775009,15.05984604,14.68489834,115.9702241,115.1974128,108.6846299,5.185713126,36.84784128
Ag1In1S1Se1_stannite,HSE+SOC,-0.638086027,-0.373305403,0.846521677,14.99762061,14.78017703,15.04380015,114.9116298,116.8485532,114.6309757,6.281330483,26.91480714
Ag1In1S1Te1_kesterite,HSE+SOC,-0.535766773,-0.457558398,0.885000452,15.33679811,14.7127762,14.22594234,110.0705748,112.1082664,109.7551624,8.399264251,27.77430107
Ag1In1S1Te1_stannite,HSE+SOC,-0.489855486,-0.319044616,0.243060225,15.3493306,14.91469422,15.65363349,115.1476345,112.2700781,112.3033787,18.06298016,5.411530181
Ag1In1S2_kesterite,HSE+SOC,-0.677469022,-0.442006266,1.724974235,7.218717214,7.145684577,14.29449918,115.1724898,116.1527357,112.6202307,5.286688293,40.71116352
Ag1In1S2_stannite,HSE+SOC,-0.660898038,-0.394051455,1.481231756,7.023133311,7.097395402,14.40744989,113.6487396,108.2102232,112.5868477,6.192083175,38.73517821
Ag1In1Se1Te1_kesterite,HSE+SOC,-0.561600848,-0.506595714,0.754541247,16.11043528,16.08177166,15.50552158,113.4829196,116.5427691,115.8207198,8.646135419,23.3672761
Ag1In1Se1Te1_stannite,HSE+SOC,-0.540032949,-0.401606624,0.247664121,15.83746103,15.23529958,15.49254932,108.8156458,111.5905078,109.801741,23.57678349,4.919697511
Ag1In1Se2_kesterite,HSE+SOC,-0.639481893,-0.378139932,1.022316286,7.703133394,7.372407039,14.19422973,113.4637447,108.1420421,114.2864789,7.434012946,31.58485162
Ag1In1Se2_stannite,HSE+SOC,-0.630448323,-0.304607369,0.683388344,7.325959972,7.641300521,15.37657172,113.4378083,110.341,113.0109534,8.588043922,20.73380583
Ag1In1Te2_kesterite,HSE+SOC,-0.441209332,-0.564543872,0.823383242,8.188750628,8.135994098,15.29293354,111.1001881,111.4078794,109.1748875,11.90441231,26.48395742
Ag1In1Te2_stannite,HSE+SOC,-0.415238508,-0.540610876,0.463934714,8.122853845,8.221108841,16.33606479,109.3777959,113.5704887,112.101634,20.71919813,7.798253151
Ag2Ba0.5Cd0.5Ge1S4_kesterite,HSE+SOC,-0.730559522,-0.241043987,2.25267539,14.73600487,14.32877701,14.23334815,112.5092052,112.2178069,111.1130721,4.382777166,32.21343259
Ag2Ba0.5Cd0.5Ge1S4_stannite,HSE+SOC,-0.738421724,-0.225002794,1.873269232,14.29262907,14.16086729,13.38870568,111.2832568,113.5448862,109.2675734,3.168963888,40.07543438
Ag2Ba0.5Cd0.5Ge1Se4_kesterite,HSE+SOC,-0.634185424,0.245503481,1.404168998,14.82608574,14.90721297,15.06953652,116.9590295,109.1488262,113.212555,6.38406445,40.02621745
Ag2Ba0.5Cd0.5Ge1Se4_stannite,HSE+SOC,-0.694982938,0.073673181,0.854533353,16.15494069,15.44030851,12.8851389,116.040095,113.4576539,113.4219436,3.860169843,26.30410709
Ag2Ba0.5Cd0.5Ge1Te4_stannite,HSE+SOC,-0.321654797,1.034148096,0.665290344,15.77559461,15.75720857,15.11729678,114.0590541,114.0592351,112.7104065,11.42817227,19.39168726
Ag2Ba0.5Cd0.5Sn1S4_kesterite,HSE+SOC,-0.674479797,0.064865382,1.974034071,13.9158265,14.02162378,14.01000273,114.535024,113.4472751,109.9710921,4.366052481,38.36426939
Ag2Ba0.5Cd0.5Sn1S4_stannite,HSE+SOC,-0.711632403,0.124492597,1.734547711,14.06221475,15.0296847,14.08143293,110.7340888,113.0055092,109.5568632,2.939438769,39.34659391
Ag2Ba0.5Cd0.5Sn1Se4_kesterite,HSE+SOC,-0.686441984,0.115230537,1.092157832,15.45847771,14.9134347,15.01893033,115.6217199,109.6104265,114.9025803,6.18916261,34.76624103
Ag2Ba0.5Cd0.5Sn1Se4_stannite,HSE+SOC,-0.632414444,0.551857893,1.037379633,15.22902982,15.39805213,14.61242483,110.8795413,114.7789245,112.8133283,6.047692309,30.47697078
Ag2Ba0.5Cd0.5Sn1Te4_stannite,HSE+SOC,-0.468971454,0.12614085,0.698098975,16.05745964,16.24711678,15.33239718,114.1440338,109.2153015,113.9595541,9.197365508,18.69432543
Ag2Ba0.5Cd0.5Zr1S4_kesterite,HSE+SOC,-1.197057203,1.087290836,2.88370156,13.99544743,14.44170255,14.78024156,113.4016213,113.5615081,114.7317594,6.895731898,18.53532159
Ag2Ba0.5Cd0.5Zr1S4_stannite,HSE+SOC,-1.167742937,1.143572779,2.287250476,14.27824067,14.26409188,13.71877992,116.5830411,115.4658553,114.7926519,5.86098441,31.42354727
Ag2Ba0.5Cd0.5Zr1Se4_kesterite,HSE+SOC,-1.078093927,1.350878816,2.421629449,15.10773452,15.54306902,15.10609016,110.3882313,115.0232622,110.7435004,7.058001852,31.19440432
Ag2Ba0.5Cd0.5Zr1Se4_stannite,HSE+SOC,-1.077284457,1.880694103,1.939188855,14.59933684,14.66172956,14.23342413,115.5042028,111.8204079,115.2121126,6.446499803,37.70459032
Ag2Ba0.5Cd0.5Zr1Te4_stannite,HSE+SOC,-0.735492842,1.33035351,1.231227208,16.47973264,15.86987352,16.29444563,109.5666675,113.1756258,114.6131857,7.544850929,36.90556815
Ag2Ba0.5Zn0.5Ge1S4_kesterite,HSE+SOC,-0.769326031,-0.135482676,2.111889838,13.90886295,13.91736278,14.53259989,111.2178068,111.2374651,114.9148121,4.486819585,34.93435437
Ag2Ba0.5Zn0.5Ge1S4_stannite,HSE+SOC,-0.699000117,0.252777134,1.662661778,14.41278197,15.00970069,13.62646621,116.1270724,110.9087326,114.5175968,3.105849818,39.30812303
Ag2Ba0.5Zn0.5Ge1Se4_kesterite,HSE+SOC,-0.686930056,0.280231599,1.310537184,14.49346889,14.16457717,15.43296231,108.0037799,108.7227982,111.984885,6.613006996,37.44886383
Ag2Ba0.5Zn0.5Ge1Se4_stannite,HSE+SOC,-0.606278533,0.571588391,0.837556249,15.51299113,14.63272444,14.49115436,112.7673025,114.1380871,114.7497281,6.595838964,26.65413877
Ag2Ba0.5Zn0.5Ge1Te4_stannite,HSE+SOC,-0.312093849,1.116477099,0.364025398,15.59956729,15.61920876,15.26094865,111.3385479,110.1266172,115.964098,11.19359539,5.019751914
Ag2Ba0.5Zn0.5Sn1S4_kesterite,HSE+SOC,-0.72696659,0.064382061,1.864564674,14.55283969,14.25186516,14.63125878,108.4667308,110.934437,109.3424755,4.944802744,37.72747649
Ag2Ba0.5Zn0.5Sn1S4_stannite,HSE+SOC,-0.712357863,0.400542857,1.496561994,14.59606032,14.53856706,13.87122966,110.3514163,111.0070845,108.4900823,3.394825616,39.40532818
Ag2Ba0.5Zn0.5Sn1Se4_kesterite,HSE+SOC,-0.709730005,0.406337295,1.262290881,15.07710176,14.89618649,15.0236322,109.2506975,109.0272566,115.394469,6.983024788,36.6558922
Ag2Ba0.5Zn0.5Sn1Se4_stannite,HSE+SOC,-0.665412985,0.665443079,0.854703458,15.12902134,14.86619011,15.18718546,111.4388933,113.995706,113.761655,6.702183637,26.53232177
Ag2Ba0.5Zn0.5Sn1Te4_kesterite,HSE+SOC,-0.465236269,0.213519105,0.780010013,15.57200135,15.92388637,16.25518219,112.2784298,110.5429133,110.4967243,9.288861998,22.40512438
Ag2Ba0.5Zn0.5Sn1Te4_stannite,HSE+SOC,-0.474476594,0.340089438,0.505608202,16.8012529,17.03547433,16.081463,112.5422219,112.7520351,115.4648523,10.19695471,10.22322525
Ag2Ba0.5Zn0.5Zr1S4_kesterite,HSE+SOC,-1.233609659,1.076608582,2.515183701,14.19311646,14.56786386,14.76561652,112.7103737,115.9450451,112.1417244,5.072650412,25.40723457
Ag2Ba0.5Zn0.5Zr1S4_stannite,HSE+SOC,-1.218304995,1.306521252,2.296334335,14.08670078,14.04166701,14.36687399,113.8401481,108.226748,112.4025551,4.680901412,31.57389221
Ag2Ba0.5Zn0.5Zr1Se4_kesterite,HSE+SOC,-1.1098626,1.647149581,2.090822891,14.44232051,14.90815059,14.72647776,116.8861116,113.7132545,114.6924231,5.607659014,35.8365731
Ag2Ba0.5Zn0.5Zr1Se4_stannite,HSE+SOC,-1.042135265,1.809296932,1.8781346,14.54619791,15.02611878,14.06797695,114.0294548,114.7268241,110.866225,5.423781421,39.61717399
Ag2Ba0.5Zn0.5Zr1Te4_kesterite,HSE+SOC,-0.598018155,2.309359655,1.384352444,15.09332573,15.49667178,15.84994563,108.3446125,109.2777982,114.2378153,8.397606402,39.77936105
Ag2Ba0.5Zn0.5Zr1Te4_stannite,HSE+SOC,-0.595897787,2.41296554,1.062762412,15.08013357,16.1521814,15.8582393,116.1794,111.7128655,112.0937713,8.416954107,31.38872423
Ag2Ba1Ge0.5Zr0.5S4_kesterite,HSE+SOC,-1.133299988,0.61455023,2.86017065,14.54838287,14.52911599,14.78853629,109.1658914,109.9549842,110.4124698,4.748970931,23.04024902
Ag2Ba1Ge0.5Zr0.5S4_stannite,HSE+SOC,-1.27040347,-0.20216132,2.64063752,15.69892114,15.37198007,11.99975579,108.9165581,108.333957,113.2175951,2.840953278,24.27382718
Ag2Ba1Ge0.5Zr0.5Se4_kesterite,HSE+SOC,-1.047168205,1.162415371,1.934394852,15.24583567,14.9741254,15.19113426,115.5038674,110.2954919,108.4466111,5.518680127,38.94459535
Ag2Ba1Ge0.5Zr0.5Se4_stannite,HSE+SOC,-1.127712854,0.646843364,2.101026539,16.0645437,15.80475049,13.73783107,109.5035492,114.4485469,114.6434334,4.44669934,35.23866156
Ag2Ba1Ge0.5Zr0.5Te4_kesterite,HSE+SOC,-0.742705792,1.394615474,1.138195345,16.5569564,16.23371234,16.60131908,113.0377227,116.1078281,116.2793762,7.050856988,35.62809463
Ag2Ba1Ge1S1Se1Te2_stannite,HSE+SOC,-0.848236966,-0.663090752,0.727512505,18.42094033,17.58293919,11.05716224,108.6755178,116.0220297,113.9920348,8.134079036,20.81141779
Ag2Ba1Ge1S1Se3_kesterite,HSE+SOC,-0.863588685,0.414011162,1.692641015,15.08171728,14.7265998,15.72318132,114.2764451,116.1126929,110.5618867,4.91327042,40.99234028
Ag2Ba1Ge1S1Te3_kesterite,HSE+SOC,-0.63432047,0.960722296,0.895816542,15.0918741,15.15521039,16.73119436,112.1445568,116.4957064,114.9980949,6.851932875,26.26637505
Ag2Ba1Ge1S2Se2_kesterite,HSE+SOC,-0.879811359,0.407668094,2.065916018,14.42437414,15.28327789,15.0404831,112.1219814,114.5569058,111.8635287,5.422355567,37.460492
Ag2Ba1Ge1S2Se2_stannite,HSE+SOC,-1.120384131,-1.389452608,1.564174369,16.59427799,17.40108587,10.33414262,116.0845409,109.9733272,109.7923155,6.55826317,37.13296978
Ag2Ba1Ge1S3Se1_kesterite,HSE+SOC,-0.919425346,0.143895181,1.863552293,14.37922695,14.87120079,15.68243256,111.8307185,108.0826336,109.6955771,4.308278365,38.28688648
Ag2Ba1Ge1S3Se1_stannite,HSE+SOC,-1.13482239,-1.568845774,1.749935343,16.69691334,16.65450364,10.21636944,112.1686575,108.1582706,109.86447,6.092483799,39.02909146
Ag2Ba1Ge1S4_kesterite,HSE+SOC,-0.907942717,0.089244054,2.672485106,7.262413723,7.037764334,15.63883765,111.090296,114.3119482,116.7084755,5.299138702,27.15859795
Ag2Ba1Ge1S4_stannite,HSE+SOC,-1.163137731,-1.525297056,2.175990188,8.30431085,8.607064581,10.00335317,113.2573542,115.5100935,116.383693,6.422164352,33.22350396
Ag2Ba1Ge1Se2Te2_stannite,HSE+SOC,-0.886512069,-0.697844332,0.968798117,18.79939271,18.20908266,10.88178529,116.6748704,113.6154845,111.9105079,8.095037639,30.03261547
Ag2Ba1Ge1Se4_kesterite,HSE+SOC,-0.821139468,0.591034342,1.676672948,7.539392752,7.318033769,15.55881708,112.6372671,109.1707422,110.7516034,6.803975543,39.98724559
Ag2Ba1Ge1Se4_stannite,HSE+SOC,-1.042304306,-0.964301939,1.074734841,8.74344413,8.936540329,10.4310761,109.9766448,114.4779215,113.6555736,7.493526615,29.75061272
Ag2Ba1Ge1Te4_kesterite,HSE+SOC,-0.541417725,1.15970294,0.89048628,8.067111786,8.285076317,16.72330216,115.3012064,114.3218726,113.6982584,9.269160921,28.17136221
Ag2Ba1Ge1Te4_stannite,HSE+SOC,-0.739918788,-0.417339151,0.27375701,9.432317569,9.450915144,10.64943049,115.6353556,114.4978906,115.3351827,10.06008196,6.134447927
Ag2Ba1Sn0.5Ge0.5S4_kesterite,HSE+SOC,-0.918211333,0.150574926,2.052047498,14.38669143,14.43813613,15.09077838,110.1183704,108.7754259,111.6857676,3.558844887,34.3136134
Ag2Ba1Sn0.5Ge0.5S4_stannite,HSE+SOC,-1.042359105,-0.848069068,2.651709222,15.37131321,16.07292811,11.5349895,116.435584,109.0100528,114.0205379,5.00157444,24.98743702
Ag2Ba1Sn0.5Ge0.5Se4_kesterite,HSE+SOC,-0.861544279,0.664859884,1.39002718,14.69105855,15.54373369,16.04391876,109.1521287,108.5366723,115.0047582,4.619076863,38.56705108
Ag2Ba1Sn0.5Ge0.5Se4_stannite,HSE+SOC,-0.930611628,-0.050501489,1.858058975,15.62712514,16.3057018,13.21497086,113.8262499,113.6257512,108.3597622,3.504632387,37.73755687
Ag2Ba1Sn0.5Zr0.5S4_kesterite,HSE+SOC,-1.116937105,1.067044801,2.620948745,14.80672053,14.52964716,14.63901876,114.2978661,115.601123,116.699064,5.468935741,25.05399659
Ag2Ba1Sn0.5Zr0.5S4_stannite,HSE+SOC,-1.204035568,0.822505015,2.593854526,15.28770008,14.66723953,14.12805388,110.3351638,110.2435598,109.8160633,3.423044728,27.39176019
Ag2Ba1Sn0.5Zr0.5Se4_kesterite,HSE+SOC,-0.933162346,2.235944314,2.026157611,14.87402146,14.79367075,14.87592046,111.718754,109.3055855,114.9772476,6.286097297,37.29954371
Ag2Ba1Sn0.5Zr0.5Se4_stannite,HSE+SOC,-1.011540276,1.944586233,1.818964117,15.21917081,15.09262517,14.47633665,115.4706589,108.9696545,111.6662346,5.457111157,39.36148989
Ag2Ba1Sn0.5Zr0.5Te4_stannite,HSE+SOC,-0.405382319,3.99538507,1.366472565,15.91064847,15.34828025,14.93233568,113.3285034,112.0670528,112.603343,9.630504098,39.12987181
Ag2Ba1Sn1S1Se1Te2_stannite,HSE+SOC,-0.84538071,-0.036370705,1.687946337,16.25236503,16.45282077,14.04013681,109.8199609,116.6636977,115.2353083,5.723121969,39.07441249
Ag2Ba1Sn1S1Se3_stannite,HSE+SOC,-1.012294821,-0.521846657,1.811115291,16.43558187,16.12130967,12.55705445,115.6239036,113.2500132,114.6430113,4.955573152,40.15286923
Ag2Ba1Sn1S1Te3_kesterite,HSE+SOC,-0.66397702,0.743928974,0.774144161,15.2075538,16.2133231,16.44948874,112.7463022,110.303819,104.6502172,7.736969037,23.54516793
Ag2Ba1Sn1S1Te3_stannite,HSE+SOC,-0.748412714,0.075992464,1.456055765,16.25695897,16.61185798,14.07112434,109.3248999,112.6211415,109.2964539,6.589939729,40.94766187
Ag2Ba1Sn1S2Se1Te1_kesterite,HSE+SOC,-0.855951702,0.490136802,0.892527447,15.40810483,15.20234547,15.3168525,108.9298732,110.1177494,112.8273816,6.681001129,29.35710897
Ag2Ba1Sn1S2Se1Te1_stannite,HSE+SOC,-0.937129687,-0.627774949,1.859088025,16.51002169,16.09552747,13.86216767,113.6558766,110.7560629,110.4038769,5.517614055,37.57436927
Ag2Ba1Sn1S2Se2_kesterite,HSE+SOC,-0.912517972,0.380157956,1.886094909,15.23843677,14.70699026,15.34115987,116.8087753,109.4824594,111.1204611,5.252751463,39.33829763
Ag2Ba1Sn1S2Se2_stannite,HSE+SOC,-1.020072171,-0.715537221,2.05339601,16.85797651,16.74150058,12.2354399,112.2014551,114.7187996,111.9329385,3.145357017,34.81741523
Ag2Ba1Sn1S2Te2_kesterite,HSE+SOC,-0.739564006,0.78990168,1.286300655,15.41807446,14.98918592,16.07759347,111.3577321,114.1789461,115.0450326,7.906830768,36.57481045
Ag2Ba1Sn1S2Te2_stannite,HSE+SOC,-0.919931264,-0.579831866,2.056362916,15.88127716,16.97638801,14.04215887,112.3074046,114.4323321,111.7164208,6.942395886,38.8720875
Ag2Ba1Sn1S3Se1_stannite,HSE+SOC,-1.061674687,-0.779909896,2.322700849,16.13426308,16.8927014,11.84013619,114.9850126,115.7500447,107.889078,5.093641706,32.43495358
Ag2Ba1Sn1S3Te1_kesterite,HSE+SOC,-0.822981745,0.393881316,0.930827159,14.45982677,15.093894,15.4536402,108.6527779,110.0450269,108.3438634,6.429689821,27.48668673
Ag2Ba1Sn1S3Te1_stannite,HSE+SOC,-1.002368261,-0.746102217,1.989211204,16.53782522,16.8809074,12.00335841,108.3238897,108.6286455,112.5369623,5.372813967,37.34493978
Ag2Ba1Sn1S4_kesterite,HSE+SOC,-0.890153836,0.265097636,2.473319822,7.224144092,7.314047833,15.49633772,115.65468,116.6360552,109.9178439,6.526330189,30.61225439
Ag2Ba1Sn1S4_stannite,HSE+SOC,-1.088439825,-1.040602586,1.46078253,8.404348116,8.331700431,10.30870125,112.387725,109.8272122,112.4491528,6.434404623,35.3114514
Ag2Ba1Sn1Se1Te3_kesterite,HSE+SOC,-0.680250011,0.873214704,0.712599173,16.89465867,15.39916735,15.74980351,112.7620252,112.2968334,118.6599518,7.660094165,22.05012276
Ag2Ba1Sn1Se2Te2_kesterite,HSE+SOC,-0.724275938,0.846758606,1.077859075,15.88248161,15.98421349,15.74313312,109.3136654,114.8421417,114.6327221,8.276413855,34.15069354
Ag2Ba1Sn1Se2Te2_stannite,HSE+SOC,-0.913496728,-0.483904746,1.739008043,18.02580475,17.92709091,13.21286989,115.3005262,112.2379113,109.626201,6.618031385,41.05081518
Ag2Ba1Sn1Se3Te1_kesterite,HSE+SOC,-0.846342973,0.64824283,0.955327522,15.49049111,15.23780999,15.97708615,112.5831191,112.5019835,114.0282615,7.405150395,30.26840823
Ag2Ba1Sn1Se3Te1_stannite,HSE+SOC,-0.944649216,-0.497311311,1.689703746,17.71677357,17.50939808,12.28673539,115.0451952,110.4591173,115.1474044,5.706841998,39.11139918
Ag2Ba1Sn1Se4_kesterite,HSE+SOC,-0.865682373,0.594934987,1.648602706,7.607067386,7.647666183,17.02292389,115.34116,109.2156324,110.9042348,7.487273681,38.55157197
Ag2Ba1Sn1Se4_stannite,HSE+SOC,-1.07965045,-0.717671259,0.676013279,8.872733811,8.732805042,10.7399619,110.8154574,113.4875197,112.9624081,7.818932825,17.55045735
Ag2Ba1Sn1Te4_kesterite,HSE+SOC,-0.619493513,0.843112038,0.983172516,7.951274838,7.964981962,17.05793627,111.2000644,113.5704126,115.555623,9.127737906,28.91234461
Ag2Ba1Sn1Te4_stannite,HSE+SOC,-0.752759823,-0.363838984,0.35581498,9.882258366,9.855335636,11.10881881,112.434566,113.1764025,111.072666,10.10958395,6.313311053
Ag2Ba1Zr1S1Se1Te2_kesterite,HSE+SOC,-1.130853737,1.489622721,1.498968209,16.07551716,15.69233262,15.53661145,108.8111618,112.2788008,113.6424813,6.342955025,38.59249489
Ag2Ba1Zr1S1Se1Te2_stannite,HSE+SOC,-1.178368074,1.082668279,2.249433682,17.06906915,16.93801026,13.46407676,115.3024321,116.2625668,107.137701,5.31592613,34.22032064
Ag2Ba1Zr1S1Se2Te1_kesterite,HSE+SOC,-1.239931574,1.45942748,1.64719516,14.96852564,15.8925864,15.803843,114.1653014,115.6507594,110.6210038,6.2840585,40.15498537
Ag2Ba1Zr1S1Se3_kesterite,HSE+SOC,-1.221670716,2.142152473,2.375078299,15.18735096,15.03467021,15.49735056,110.2795569,116.3300422,109.3804156,6.598452048,31.84423684
Ag2Ba1Zr1S1Se3_stannite,HSE+SOC,-1.431054443,0.416427088,1.671521923,18.29700831,17.98248523,10.71953157,113.0275369,108.5994314,110.5435707,6.805531035,40.58441097
Ag2Ba1Zr1S1Te3_stannite,HSE+SOC,-1.082303584,1.10797854,2.002065706,16.56200341,17.16126522,13.75271282,111.9136712,109.3078881,110.9274001,6.385539376,38.17889216
Ag2Ba1Zr1S2Se1Te1_kesterite,HSE+SOC,-1.227456067,1.398272608,1.763665768,15.09501548,15.52709559,15.30265518,111.2264856,115.0347512,117.7583546,6.156140451,41.06562675
Ag2Ba1Zr1S2Se1Te1_stannite,HSE+SOC,-1.318343021,0.596499589,2.178594464,16.10451988,16.93308468,13.01778956,115.1926879,113.4808699,113.5128939,5.697307828,35.49554824
Ag2Ba1Zr1S2Se2_kesterite,HSE+SOC,-1.322337037,1.318170971,2.78694934,14.46857515,15.59552335,16.1768956,114.5604458,114.2536707,114.9121976,5.533775161,22.68754761
Ag2Ba1Zr1S2Se2_stannite,HSE+SOC,-1.481254257,0.546753522,2.462723531,15.9482883,16.07863726,12.67093402,110.2372832,115.2982925,110.4026721,3.797620848,25.7204674
